algorithm;sample1;sample_size;output;output_image_size;duration;seed;algorithm_parameters
COH;Samples/skulls.png;25x25;ExperimentsCOH4Output/skulls1.png;64x64;173;42;neighborhood=1, K=4
COH;Samples/skulls.png;25x25;ExperimentsCOH4Output/skulls2.png;64x64;151;42;neighborhood=2, K=4
COH;Samples/skulls.png;25x25;ExperimentsCOH4Output/skulls3.png;64x64;153;42;neighborhood=3, K=4
COH;Samples/wall.png;32x32;ExperimentsCOH4Output/wall1.png;128x128;612;42;neighborhood=1, K=4
COH;Samples/wall.png;32x32;ExperimentsCOH4Output/wall2.png;128x128;659;42;neighborhood=2, K=4
COH;Samples/wall.png;32x32;ExperimentsCOH4Output/wall3.png;128x128;665;42;neighborhood=3, K=4
COH;Samples/square_spiral.png;64x32;ExperimentsCOH4Output/square_spiral1.png;128x128;578;42;neighborhood=1, K=4
COH;Samples/square_spiral.png;64x32;ExperimentsCOH4Output/square_spiral2.png;128x128;635;42;neighborhood=2, K=4
COH;Samples/square_spiral.png;64x32;ExperimentsCOH4Output/square_spiral3.png;128x128;660;42;neighborhood=3, K=4
COH;Samples/halls_and_foam.png;50x25;ExperimentsCOH4Output/halls_and_foam1.png;128x128;574;33;neighborhood=1, K=4
COH;Samples/halls_and_foam.png;50x25;ExperimentsCOH4Output/halls_and_foam2.png;128x128;575;33;neighborhood=2, K=4
COH;Samples/halls_and_foam.png;50x25;ExperimentsCOH4Output/halls_and_foam3.png;128x128;613;33;neighborhood=3, K=4
COH;Samples/halls_and_foam_v.png;25x50;ExperimentsCOH4Output/halls_and_foam_v1.png;128x128;558;33;neighborhood=1, K=4
COH;Samples/halls_and_foam_v.png;25x50;ExperimentsCOH4Output/halls_and_foam_v2.png;128x128;619;33;neighborhood=2, K=4
COH;Samples/halls_and_foam_v.png;25x50;ExperimentsCOH4Output/halls_and_foam_v3.png;128x128;642;33;neighborhood=3, K=4
COH;Samples/redfoam.png;32x32;ExperimentsCOH4Output/redfoam1.png;128x128;585;42;neighborhood=1, K=4
COH;Samples/redfoam.png;32x32;ExperimentsCOH4Output/redfoam2.png;128x128;585;42;neighborhood=2, K=4
COH;Samples/redfoam.png;32x32;ExperimentsCOH4Output/redfoam3.png;128x128;634;42;neighborhood=3, K=4
COH;Samples/bluehalls.png;25x25;ExperimentsCOH4Output/bluehalls1.png;128x128;591;42;neighborhood=1, K=4
COH;Samples/bluehalls.png;25x25;ExperimentsCOH4Output/bluehalls2.png;128x128;661;42;neighborhood=2, K=4
COH;Samples/bluehalls.png;25x25;ExperimentsCOH4Output/bluehalls3.png;128x128;642;42;neighborhood=3, K=4
COH;Samples/sgraph.png;32x32;ExperimentsCOH4Output/sgraph1.png;128x64;267;-1(184);neighborhood=1, K=4
COH;Samples/sgraph.png;32x32;ExperimentsCOH4Output/sgraph2.png;128x64;285;-1(671);neighborhood=2, K=4
COH;Samples/sgraph.png;32x32;ExperimentsCOH4Output/sgraph3.png;128x64;296;-1(298);neighborhood=3, K=4
COH;Samples/sgraph.png;32x32;ExperimentsCOH4Output/sgraph4.png;128x64;372;-1(51);neighborhood=4, K=4
COH;Samples/sgraph.png;32x32;ExperimentsCOH4Output/sgraph5.png;128x64;427;-1(55);neighborhood=5, K=4
COH;Samples/sgraph.png;32x32;ExperimentsCOH4Output/sgraph6.png;128x64;419;-1(322);neighborhood=6, K=4
COH;Samples/ball.png;13x13;ExperimentsCOH4Output/ball1.png;128x128;652;-1(845);neighborhood=3, K=4
COH;Samples/ball.png;13x13;ExperimentsCOH4Output/ball2.png;128x128;678;-1(598);neighborhood=4, K=4
COH;Samples/ball.png;13x13;ExperimentsCOH4Output/ball3.png;128x128;784;-1(366);neighborhood=5, K=4
COH;Samples/solid_ball.png;13x13;ExperimentsCOH4Output/solid_ball1.png;128x128;753;-1(261);neighborhood=3, K=4
COH;Samples/solid_ball.png;13x13;ExperimentsCOH4Output/solid_ball2.png;128x128;731;-1(108);neighborhood=4, K=4
COH;Samples/solid_ball.png;13x13;ExperimentsCOH4Output/solid_ball3.png;128x128;780;-1(955);neighborhood=5, K=4
COH;Samples/city.png;32x32;ExperimentsCOH4Output/city1.png;128x32;154;4242;neighborhood=3, K=4
COH;Samples/city.png;32x32;ExperimentsCOH4Output/city2.png;128x32;172;4242;neighborhood=4, K=4
COH;Samples/city.png;32x32;ExperimentsCOH4Output/city3.png;128x32;192;4242;neighborhood=5, K=4
COH;Samples/city2.png;32x32;ExperimentsCOH4Output/cityb1.png;128x32;152;4242;neighborhood=3, K=4
COH;Samples/city2.png;32x32;ExperimentsCOH4Output/cityb2.png;128x32;215;4242;neighborhood=4, K=4
COH;Samples/city2.png;32x32;ExperimentsCOH4Output/cityb3.png;128x32;192;4242;neighborhood=5, K=4
COH;Samples/city3.png;32x32;ExperimentsCOH4Output/cityc1.png;128x32;157;4242;neighborhood=3, K=4
COH;Samples/city3.png;32x32;ExperimentsCOH4Output/cityc2.png;128x32;170;4242;neighborhood=4, K=4
COH;Samples/city3.png;32x32;ExperimentsCOH4Output/cityc3.png;128x32;185;4242;neighborhood=5, K=4
